FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;PL;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PT;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;RO;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SE;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;AT;MEUR_KP_PRE;OBJ03,82.3 ,93.8 ,127.7 ,341.8 ,478.9 ,444.4 ,415.4 ,495.1 ,699.8 ,872.5 ,1006.4 ,941.8 ,1140.3 ,1120.3 ,759.6 ,1345.1 ,1372.6 ,1337.6 
A;BE;MEUR_KP_PRE;OBJ03,4.5 ,32.9 ,1.9 ,6.8 ,16.7 ,67 ,176.9 ,219.2 ,134.8 ,290.4 ,440.6 ,329.7 ,299 ,445 ,123.3 ,54.9 ,74.4 ,93.1 
A;BG;MEUR_KP_PRE;OBJ03,0 ,0 ,3.7 ,0.9 ,0.8 ,0.1 ,0 ,0 ,0 ,0 ,1 ,2.2 ,308.1 ,308.1 ,308.1 ,320.9 ,393.1 ,518.1 
A;CY;MEUR_KP_PRE;OBJ03,1.7 ,1 ,2.3 ,3.1 ,1.6 ,1.2 ,0.3 ,1.4 ,5.4 ,4.5 ,0.1 ,5.2 ,3.7 ,49.3 ,48.3 ,68.7 ,70.7 ,54 
A;CZ;MEUR_KP_PRE;OBJ03,39.5 ,26.2 ,28.2 ,82 ,42.9 ,9.3 ,20.8 ,3.8 ,7.8 ,9.7 ,43.2 ,63.3 ,77.2 ,280.9 ,291.1 ,365.5 ,1582.6 ,1752 
A;DE;MEUR_KP_PRE;OBJ03,3703.2 ,4340.1 ,5032.2 ,5855.6 ,6666.4 ,7188 ,8145.7 ,5940.5 ,5808.7 ,5624.8 ,5517.1 ,3609.8 ,4026.9 ,4684.5 ,29560.7 ,30692.3 ,34794 ,36191.6 
A;DK;MEUR_KP_PRE;OBJ03,755.4 ,801 ,661.4 ,456.9 ,527.1 ,508.2 ,344.5 ,372.8 ,258.1 ,485 ,307.4 ,337.9 ,573.1 ,553 ,680.5 ,1646.4 ,2818.8 ,2957.5 
